word,translate
suspicious,"adj.多疑的,疑心的；可疑的"
human,"adj.人的,人类的n.人"
gender,n.(生理上的)性；(名词、代词等的)性
ornament,"v.装饰,美化n.装饰,装饰物"
spectacle,"n.奇观,壮观；(pl.)眼镜"
principal,"adj.最重要的,主要的n.校长；负责人；资本,本金"
companion,"n.同伴,共事者,伴侣"
attempt,v.企图，试图n.努力，尝试，企图
metre,n.(meter)米，公尺；仪表，计量器
decide,"v.决定,下决心；解决,裁决"
promote,"v.促进,发扬；提升,提拔"
genetic,adj.遗传(学)的n.[-s]遗传学
private,"adj.私人的,个人的；秘密的,私下的"
resist,v.忍得住；抗拒，对抗；反抗，抵御
depart,"v.离开,起程adj.过去的,逝世的"
platform,"n.站台,月台；平台,台；政纲,党纲"
absence,n.缺席，不在；缺乏，不存在
temper,n.脾气v.调和，使缓和；使回火
irrespective,"adj.不顾的,不考虑的,无关的"
second,"adj.第二；次等的,二等的n.秒v.赞成,附和"
convenient,"adj.(to)便利的,方便的"
petition,"n.请愿书,申请书v.(向…)请愿,正式请求"
prime,"adj.首要的；最好的,第一流的n.青春,全盛期"
Monday,n.星期一
equator,n.赤道
visitor,"n.访问者,客人,来宾,参观者"
competitive,adj.有竞争力的；竞争的，竞争性的
aspect,"n.(问题等的)方面；样子,外表,面貌"
revive,v.复兴；恢复；（使）复苏
grammar,n.语法；语法书
pan,n.平底锅
husband,n.丈夫
curb,n.路边；控制，约束v.制止，抑制
harmony,"n.融洽；协调,和谐"
invasion,"n.入侵,侵略,侵犯"
vacation,"n.休假,假期"
consensus,n.(意见等的)一致，一致同意，共识
priest,n.神父；教士
executive,"n.总经理,董事,行政负责人adj.执行的,实施的"
vision,"n.视力,视觉;远见;洞察力;幻想,幻影;想象力"
resent,"v.对…表示忿恨,怨恨"
locality,n.地区
call,v.叫，喊；打电话；把…叫作；叫，喊n.叫声；号召
provided,"conj.倘若,只要,假如"
concession,n.让步，妥协；特许(权)
furnace,"n.炉子,熔炉"
subordinate,"adj.(to)次要的,从属的；下级的"
remove,v.移动；脱掉；免职
participant,"n.参加者,参与者adj.有份的,参与的"
refuse,"v.拒绝,谢绝n.废物,垃圾"
abstract,"adj.抽象的n.摘要，梗概v.提取,摘录要点"
following,adj.其次的，接着的；下列的，下述的
monument,"n.纪念碑,纪念馆；遗迹"
illuminate,v.照亮，照明；说明，阐释
sense,"n.感官；感觉；理解力；判断力；意义v.觉得,意识到"
intelligent,"adj.聪明的,明智的"
increase,"v.增加,增长,增进n.增加,增长,增进"
catch,"v.捕捉,捕获；赶上；感染；听到"
dominant,"adj.支配的,统治的,占优势的"
proposal,"n.提议,建议；求婚"
category,"n.种类，部属，类目,范畴，类型"
concede,"v.承认；(比赛结束前)认输,退让"
statesman,"n.政治家,国务活动家"
resolve,"v.决心；(使)分解,溶解；决议n.决心"
marry,"v.结婚,嫁,娶"
cater,"v.(for)提供饮食及服务；(for/to)满足,迎合"
precious,adj.珍贵的；贵重的
curriculum,"n.课程,(学校等的)全部课程"
summer,n.夏天，夏季adj.夏季的
celebrate,v.庆祝；颂扬，赞美
fireman,n.消防队员
recognize,"v.(recognise)认出；承认；赏识,表扬"
recovery,"n.痊愈,复元；重获,恢复"
recognition,"n.认出,辨认；承认"
congratulate,"v.(on)祝贺,向…致贺词"
devise,v.设计;发明;图谋;作出(计划);想出(办法)
evacuate,v.撤离，疏散；排泄
dialog,"n.(dialogue)对话,对白"
banquet,n.(正式的)宴会v.参加宴会，宴请
move,"v.移动；迁移；感动n.行动；移动,活动"
contradict,"v.反驳；同…矛盾,同…抵触"
corporation,n.公司，企业；法人
prisoner,n.囚犯
accommodation,n.住宿，膳宿供应
embassy,n.大使馆;大使及其随员
respect,"n.尊敬,尊重；敬意,问候v.尊敬,尊重"
fragile,adj.易碎的，脆的，易损坏的
deficit,"n.赤字,逆差;亏损,亏空;不足,缺乏"
grandmother,"n.祖母,外祖母"
compensate,v.(for)补偿；赔偿
paralyze,v.(paralyse)使瘫痪(麻痹)；使不能正常运作，使陷入瘫痪
evaluate,"v.估价,评价"
excessive,adj.过多的;过分的
orderly,"adj.整齐的,有条理的；有秩序的n.勤务兵"
salesman,"n.售货员,推销员"
curiosity,"n.好奇心；古董,古玩"
discipline,n.纪律；学科
equal,adj.相等的；胜任的n.同等的人v.等于
soldier,"n.士兵,军人"
barely,adv.勉强才能；几乎不
final,adj.最终的；决定性的n.决赛；期末考试
confine,v.限制；使不外出，禁闭n.[pl.]界限，范围
creature,n.动物;生物
communism,n.共产主义
deceive,"v.欺骗,蒙蔽"
characterize,v.描述…特性
basis,"n.基础,根据"
species,"n.(物)种,种类"
part,"n.部分,角色,一方,零件,地区,部,篇v.使分开"
summarize,"v.(summarise)概括,总结"
signal,"n.信号,暗号v.发信号,用信号通知"
circulate,"v.(使)循环,(使)流通"
religious,"adj.宗教的；信教的,虔诚的"
massacre,"v.残杀,集体屠杀n.残杀,大屠杀"
decrease,"n.减少,减小;减少量v.减少,变少,降低"
countryside,"n.乡下,农村"
improvement,"n.改进,进步,增进"
precision,"n.精确,精确度"
suppose,"v.料想,猜想;假定"
accident,"n.意外遭遇,事故"
comprise,v.包含，包括，由...组成；构成，组成
penny,n.便士
compare,v.比较；与…相比
character,"n.性格,品质,特性；人物,角色;；字符,(汉)字"
genius,n.天才
dedicate,v.奉献;献身于
expose,"v.(to)使暴露,受到；揭露，揭发"
formal,adj.官方的；正式的
same,adj.相同的pron.同样adv.同样地
inevitable,"adj.不可避免的,必然发生的"
suspect,v.猜想；怀疑adj.可疑的n.嫌疑犯
capitalism,n.资本主义
perform,"v.表演,演出；履行,执行"
medieval,"adj.中世纪的,中古(时代)的；老式的,原始的"
cartoon,"n.动画片；漫画,幽默画"
limited,"adj.有限的,被限制的"
possible,"adj.可能的,做得到的；合理的"
extract,"v.拔出,抽出；摘录n.节录；选段；抽取物"
container,n.容器；集装箱
menace,n.有危险性的人(或物)；威胁，威吓v.威胁，威吓
adhere,v.(to)粘着；坚持，遵守
besides,adv.此外；并且prep.于…之外；除…以外
analogue,n.类似物；相似体；模拟
conversation,"n.会话,谈话"
pride,n.自豪（感），骄傲v.使自豪
significant,adj.重要的，重大的，影响深远的
reciprocal,"adj.相互的,往复的,互利的"
to,prep.(表示方向)到；向；(表示间接关系)给
perfection,"n.尽善尽美,完美"
possession,"n.持有,拥有；所有物；财产,财物"
paragraph,n.段落；短评；段落符号v.将…分段
influence,n.影响；势力；感化；有影响的人或事v.影响；改变
intellectual,adj.智力的；聪明的；理智的n.知识分子；凭理智做事者
political,adj.政治的；党派的
science,n.科学；技术；学科；理科
economic,adj.经济的，经济上的；经济学的
century,n.世纪，百年；（板球）一百分
increase,n.增加，增长；提高v.增加，增大；繁殖
stress,n.压力；强调；紧张；重要性；重读v.强调；使紧张；加压力于；用重音读
power,n.力量，能力；电力，功率；政权，势力；[数]幂v.激励；供以动力；使…有力量adj.借影响有权势人物以操纵权力的
national,adj.国家的；国民的；民族的；国立的n.国民
consider,v.考虑；认为；考虑到；细想
process,v.处理；加工n.过程，进行；方法，步骤；作用；程序；推移adj.经过特殊加工（或处理）的
create,v.创造，创作；造成
drug,n.药；毒品；麻醉药；滞销货v.使服麻醉药；使服毒品；掺麻醉药于
care,n.关怀；照料；谨慎；忧虑v.照顾；关心；喜爱；顾虑
group,n.组；团体adj.群的；团体的v.聚合
discovery,n.发现，发觉；被发现的事物
include,v.包含，包括
price,n.价格；价值；代价v.给……定价；问……的价格
sector,n.部门；扇形，扇区；象限仪；函数尺vt.把…分成扇形
service,n.服务，服侍；服役；仪式adj.服务性的；耐用的；服现役的v.维修，检修；保养
search,v.搜寻；调查；探求n.搜寻；探究，查究
experience,n.经验；经历；体验v.经验；经历；体验
require,v.需要；要求；命令
individual,adj.个人的；个别的；独特的n.个人，个体
scientific,adj.科学的，系统的
attention,n.注意力；关心；立正！（口令）
influential,adj.有影响的；有势力的n.有影响力的人物
court,n.法院；球场；朝廷；奉承v.招致（失败、危险等）；向…献殷勤；设法获得
law,n.法律；规律；法治；法学；诉讼；司法界vi.起诉；控告vt.控告；对…起诉
federal,adj.联邦的；同盟的；联邦政府的；联邦制的adv.联邦政府地n.(Federal)人名；(英)费德勒尔
past,n.过去；往事adj.过去的；结束的prep.越过；晚于adv.过；经过
deal,v.处理；给予；分配；发牌n.交易；（美）政策；待遇；份量
rise,v.上升；增强；起立；高耸n.上升；高地；增加；出现
limit,n.限制；限度；界线v.限制；限定
peer,n.贵族；同等的人；同龄人v.凝视，盯着看；窥视
scientist,n.科学家
financial,adj.金融的；财政的，财务的
report,n.报告；报道；成绩单v.报告；报导；使报到
issue,n.问题；流出；期号；发行物v.发行，发布；发给；放出，排出
risk,n.风险；危险；冒险v.冒…的危险
method,n.方法；条理；类函数adj.使用体验派表演方法的
publish,v.出版；发表；公布
practice,n.实践；练习；惯例v.练习；实习；实行
future,n.未来；前途；期货；将来时adj.将来的，未来的
function,n.功能；[数]函数；职责；盛大的集会v.运行；活动；行使职责
evidence,n.证据，证明；迹象；明显v.证明
pressure,n.压力；压迫，[物]压强v.迫使；密封；使……增压
turn,v.转动，使旋转；转弯；翻过来；兑换n.转弯；变化；(损害或有益于别人的)行为，举动，举止
argue,v.争论，辩论；提出理由n.(Argue)人名；(英、法)阿格
support,v.支持，支撑，支援；扶持，帮助；赡养，供养n.支持，维持；支援，供养；支持者，支撑物
offer,v.提供；出价；试图n.提议；出价；意图；录取通知书
understand,v.理解；懂；获悉；推断；省略
history,n.历史，历史学；历史记录；来历
bring,v.带来；促使；引起；使某人处于某种情况或境地n.(Bring)人名；(英、瑞典)布林
knowledge,n.知识，学问；知道，认识；学科
medical,adj.医学的；药的；内科的n.医生；体格检查
rate,n.比率，率；速度；价格；等级v.认为；估价；责骂
continue,v.继续，延续；仍旧，连续
monkey,n.猴子；顽童v.胡闹；捣蛋
student,n.学生；学者
smell,v.嗅，闻；有…气味n.气味，嗅觉；臭味
single,adj.单一的；单身的；单程的n.一个；单打；单程票v.选出
average,n.平均；平均数；海损adj.平均的；普通的；通常的v.算出…的平均数；将…平均分配；使…平衡
loss,n.减少；亏损；失败；遗失
legal,adj.法律的；合法的；法定的；依照法律的n.(Legal)人名；(法)勒加尔
effect,n.影响；效果；作用v.产生；达到目的
feeling,n.感觉，触觉；感情，情绪；同情adj.有感觉的；有同情心的；富于感情的v.感觉；认为（feel的现在分词）；触摸
gamble,v.赌博；孤注一掷；投机；打赌n.赌博；冒险；打赌
writing,n.书写；作品；著作；[法]笔迹v.书写（write的ing形式）
share,v.分享，分担；分配n.份额；股份
earn,v.赚，赚得；获得，挣得；使得到；博得n.(Earn)人名；(泰)炎
message,n.消息；差使；启示；预言；广告词v.报信，报告；[通信]报文
standard,n.标准；水准；旗；度量衡标准adj.标准的；合规格的；公认为优秀的
quit,v.离开；放弃；停止；使…解除n.离开；[计]退出adj.摆脱了…的；已经了结的
railroad,v.由铁道运输；铺设铁路；以捏造不实之罪使入狱n.铁路；铁路公司
certain,adj.某一；必然的；确信；无疑的；有把握的pron.某些；某几个n.(Certain)人名；(葡)塞尔塔因；(法)塞尔坦
decision,n.决定，决心；决议
performance,n.性能；绩效；表演；执行；表现
concept,n.观念，概念
class,n.阶级；班级；种类；班；等级v.分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级adj.极好的；很好的，优秀的，出色的
difference,n.差异；不同；争执
genetic,adj.遗传的；基因的；起源的
journal,n.日报，杂志；日记；分类账
slave,n.奴隶；从动装置v.苦干；拼命工作
brain,n.头脑，智力；脑袋v.猛击…的头部
response,n.响应；反应；回答
potential,n.潜能；可能性；[电]电势adj.潜在的；可能的；势的
site,n.地点；位置；场所v.设置；为…选址
produce,v.生产；引起；创作；生育，繁殖n.农产品，产品
spread,v.传播；伸展n.传播；伸展adj.伸展的
attitude,n.态度；看法；意见；姿势
living,adj.活的；现存的；活跃的；逼真的n.生活；生存；生计v.生活；居住（live的ing形式）；度过
union,n.联盟，协会；工会；联合
born,v.出世（bear的过去分词）adj.天生的n.(Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩
define,v.定义；使明确；规定n.(Define)人名；(英)德法恩；(葡)德菲内
critic,n.批评家，评论家；爱挑剔的人
institution,n.制度；建立；（社会或宗教等）公共机构；习俗
experiment,v.尝试；进行实验n.实验，试验；尝试
adult,adj.成年的；成熟的n.成年人
review,n.回顾；复习；评论；检讨；检阅v.回顾；检查；复审
generation,n.一代；产生；一代人；生殖
quality,n.质量，[统计]品质；特性；才能adj.优质的；高品质的；<英俚>棒极了
criticism,n.批评；考证；苛求
remain,v.保持；依然；留下；剩余；逗留；残存n.遗迹；剩余物，残骸
product,n.产品；结果；[数]乘积；作品
nation,n.国家；民族；国民
infer,v.推断；推论
community,n.社区；[生态]群落；共同体；团体
happy,adj.幸福的；高兴的；巧妙的n.(Happy)人名；(英、瑞典、喀)哈皮
cover,v.包括；采访，报导；涉及n.封面，封皮；盖子；掩蔽物;幌子，借口
publication,n.出版；出版物；发表
segment,v.分割n.段；部分
seek,v.寻求；寻找；探索；搜索
condition,n.条件；情况；环境；身份v.决定；使适应；使健康；以…为条件
internet,n.因特网
success,n.成功，成就；胜利；大获成功的人或事物
fund,n.基金；资金；存款v.投资；资助
structure,n.结构；构造；建筑物v.组织；构成；建造
sense,n.感觉，功能；观念；道理；理智v.感觉到；检测
newspaper,n.报纸
customer,n.顾客；家伙
learned,adj.博学的；有学问的；学术上的n.(Learned)人名；(英)勒尼德
board,n.董事会；木板；甲板；膳食v.上（飞机、车、船等）；用板盖上；给提供膳宿
president,n.总统；董事长；校长；主席
remove,v.移动，迁移；开除；调动n.移动；距离；搬家
series,n.系列，连续；[电]串联；级数；丛书
record,v.记录，记载；标明；将录音n.档案，履历；唱片；最高纪录adj.创纪录的
moral,adj.道德的；精神上的；品性端正的n.道德；寓意
production,n.成果；产品；生产；作品
population,n.人口；[生物]种群，[生物]群体；全体居民
underline,v.强调；在…下面划线；预告n.下划线；下期节目预告
humanity,n.人类；人道；仁慈；人文学科
position,n.位置，方位；职位，工作；姿态；站位v.安置；把……放在适当位置
particular,adj.特别的；详细的；独有的；挑剔的n.详细说明；个别项目
immigrant,adj.移民的；迁入的n.移民，侨民
opportunity,n.时机，机会
access,v.使用；存取；接近n.进入；使用权；通路
observe,v.庆祝
stay,v.停留；坚持；暂住；停下n.逗留；停止；支柱
commercial,adj.商业的；营利的；靠广告收入的n.商业广告
reveal,v.显示；透露；揭露；泄露n.揭露；暴露；门侧，窗侧
effort,n.努力；成就
reduce,v.减少；降低；使处于；把…分解
term,n.术语；学期；期限；条款；(代数式等的)项v.把…叫做
action,n.行动；活动；功能；战斗；情节
decade,n.十年，十年期；十
productivity,n.生产力；生产率；生产能力
sentence,n.[语][计]句子，命题；宣判，判决v.判决，宣判
celebrity,n.名人；名声
teacher,n.教师；导师
concern,v.涉及，关系到；使担心n.关系；关心；关心的事；忧虑
score,n.分数；二十；配乐；刻痕v.获得；评价；划线，刻划；把…记下
variety,n.多样；种类；杂耍；变化，多样化
unique,adj.独特的，稀罕的；[数]唯一的，独一无二的n.独一无二的人或物
depend,v.依赖，依靠；取决于；相信，信赖
nuclear,adj.原子能的；[细胞]细胞核的；中心的；原子核的
involve,v.包含；牵涉；使陷于；潜心于
career,n.生涯；职业；事业；速度，全速adj.作为毕生职业的v.全速前进，猛冲
belief,n.相信，信赖；信仰；教义
spend,v.度过，消磨（时光）；花费；浪费；用尽n.预算
necessary,adj.必要的；必需的；必然的n.必需品
general,adj.一般的，普通的；综合的；大体的n.一般；将军，上将；常规
cure,v.治疗；治愈；使硫化；加工处理n.治疗；治愈；[临床]疗法
network,n.网络；广播网；网状物
determine,v.（使）下决心，（使）做出决定
possible,adj.可能的；合理的；合适的n.可能性；合适的人；可能的事物
security,n.安全；保证；证券；抵押品adj.安全的；保安的；保密的
organization,n.组织；机构；体制；团体
pursuit,n.追赶，追求；职业，工作
plant,n.工厂，车间；植物；设备；庄稼v.种植；培养；栽培；安置
situation,n.情况；形势；处境；位置
agency,n.代理，中介；代理处，经销处
natural,adj.自然的；物质的；天生的；不做作的n.自然的事情；白痴；本位音
speak,v.说话；演讲；表明；陈述
feature,n.特色，特征；容貌；特写或专题节目v.起重要作用
translation,n.翻译；译文；转化；调任
mass,n.块，团；群众，民众；大量，众多；质量adj.群众的，民众的；大规模的，集中的v.聚集起来，聚集
achieve,v.取得；获得；实现；成功
agree,v.同意，赞成；承认；约定，商定
difficult,adj.困难的；不随和的；执拗的
formal,adj.正式的；拘谨的；有条理的n.正式的社交活动；夜礼服
lawyer,n.律师；法学家
trend,n.趋势，倾向；走向v.趋向，伸向
order,n.命令；顺序；规则；[贸易]定单v.命令；整理；定购
advantage,n.优势；利益；有利条件v.获利
suppose,v.假设；认为；让（虚拟语气）；推想conj.假使…结果会怎样
province,n.省；领域；职权
soccer,n.英式足球，足球
encourage,v.鼓励，怂恿；激励；支持
promise,n.许诺，允诺；希望v.允诺，许诺；给人以…的指望或希望
sign,n.迹象；符号；记号；手势；指示牌v.签署；签名
analysis,n.分析；分解；验定
translate,v.翻译；转化；解释；转变为；调动
expert,adj.熟练的；内行的；老练的n.专家；行家；能手vt.当专家；在…中当行家
present,v.提出；介绍；呈现；赠送adj.现在的；出席的n.现在；礼物；瞄准
justice,n.司法，法律制裁；正义；法官，审判员
apply,v.申请；涂，敷；应用
limited,adj.有限的n.高级快车
source,n.来源；水源；原始资料
carry,v.拿，扛；携带；支持；搬运n.运载；[计]进位；射程
focus,n.焦点；中心；清晰；焦距v.使集中；使聚焦
sleep,v.睡，睡觉n.睡眠
reality,n.现实；实际；真实
catch,v.赶上；抓住；感染；了解n.捕捉；捕获物；窗钩
basic,adj.基本的；基础的n.基础；要素
drink,v.喝，饮；吸收；举杯庆贺n.酒，饮料；喝酒
finding,n.发现；裁决；发现物v.找到；感到（find的ing形式）；遇到
visit,n.访问；参观；逗留v.访问；参观；视察
model,n.模型；典型；模范；模特儿；样式v.模拟；塑造；模仿adj.模范的；作模型用的
matter,n.物质；事件v.有关系；要紧
physical,adj.[物]物理的；身体的；物质的；根据自然规律的，符合自然法则的n.体格检查
classical,adj.古典的；经典的；传统的；第一流的n.古典音乐
growth,n.增长；发展；生长；种植
trade,n.贸易，交易；行业；职业v.交易，买卖；以物易物
track,n.轨道；足迹，踪迹；小道v.追踪；通过；循路而行；用纤拉
senior,adj.高级的；年长的；地位较高的；年资较深的，资格较老的n.上司；较年长者；毕业班学生
educate,v.教育；培养；训练
stand,v.站立；位于；停滞n.站立；立场；看台；停止
journalist,n.新闻工作者；报人；记日志者
setting,n.环境；安装；布置；[天]沉落v.放置；沉没；使…处于某位置（set的ing形式）
return,v.返回；报答n.返回；归还；回球adj.报答的；回程的；返回的
relationship,n.关系；关联
pattern,n.模式；图案；样品v.模仿；以图案装饰
emerge,v.浮现；摆脱；暴露
ignore,v.驳回诉讼；忽视；不理睬
flow,v.流动，涌流；川流不息；飘扬n.流动；流量；涨潮，泛滥
suitable,adj.适当的；相配的
environment,n.环境，外界
exercise,n.运动；练习；运用；操练；礼拜；典礼v.锻炼；练习；使用；使忙碌；使惊恐
force,n.力量；武力；军队；魄力v.促使，推动；强迫；强加
introduce,v.介绍；引进；提出；采用
personal,adj.个人的；身体的；亲自的n.人事消息栏；人称代名词
negative,adj.[数]负的；消极的；否定的；阴性的n.否定；负数；[摄]底片v.否定；拒绝
native,adj.本国的；土著的；天然的；与生俱来的；天赋的n.本地人；土产；当地居民
investment,n.投资；投入；封锁
exchange,n.交换；交流；交易所；兑换v.交换；交易；兑换
range,n.范围；幅度；排；山脉v.（在内）变动；平行，列为一行；延伸；漫游；射程达到
professional,adj.专业的；职业的；职业性的n.专业人员；职业运动员
strong,adj.坚强的；强壮的；牢固的；擅长的adv.强劲地；猛烈地n.(Strong)人名；(英)斯特朗
extra,adv.特别地，非常；另外n.临时演员；号外；额外的事物；上等产品adj.额外的，另外收费的；特大的
threat,n.威胁，恐吓；凶兆
successful,adj.成功的；一帆风顺的
conduct,v.导电；带领n.进行；行为；实施
consequence,n.结果；重要性；推论
simply,adv.简单地；仅仅；简直；朴素地；坦白地
largely,adv.主要地；大部分；大量地
evolution,n.演变；进化论；进展
enhance,v.提高；加强；增加
emotion,n.情感；情绪
usual,adj.通常的，惯例的；平常的
guide,n.指南；向导；入门书v.引导；带领；操纵
economy,n.经济；节约；理财
exist,v.存在；生存；生活；继续存在
politics,n.政治，政治学；政治活动；政纲
expose,v.揭露，揭发；使曝光；显示
technology,n.技术；工艺；术语
predict,v.预报，预言；预知
epidemic,adj.流行的；传染性的n.传染病；流行病；风尚等的流行
smoke,n.烟；抽烟；无常的事物v.冒烟，吸烟；抽烟；弥漫
firm,adj.坚定的；牢固的；严格的；结实的v.使坚定；使牢固adv.稳固地n.公司；商号
discipline,n.学科；纪律；训练；惩罚v.训练，训导；惩戒
emphasize,v.强调，着重
poetry,n.诗；诗意，诗情；诗歌艺术
conscious,adj.意识到的；故意的；神志清醒的
goal,n.目标；球门，得分数；终点vi.攻门，射门得分
outcome,n.结果，结局；成果
reader,n.读者；阅读器；读物
reputation,n.名声，名誉；声望
identify,v.确定；鉴定；识别，辨认出；使参与；把…看成一样vi确定；认同；一致
express,v.表达；快递adj.明确的；迅速的；专门的n.快车，快递，专使；捷运公司
policy,n.政策，方针；保险单
spy,v.侦察；发现；暗中监视n.间谍；密探
church,n.教堂；礼拜；教派adj.教会的；礼拜的v.领…到教堂接受宗教仪式
wrong,adv.错误地；邪恶地，不正当地n.坏事；不公正adj.错误的；失常的；不适当的v.委屈；无理地对待；诽谤
measure,n.测量；措施；程度；尺寸v.测量；估量；权衡
prove,v.证明；检验；显示
competition,n.竞争；比赛，竞赛
majority,n.多数；成年
store,n.商店；储备，贮藏；仓库v.贮藏，储存
story,n.故事；小说；新闻报道；来历；假话vt.用历史故事画装饰vi.说谎
current,adj.现在的；流通的，通用的；最近的；草写的n.（水，气，电）流；趋势；涌流
scholar,n.学者；奖学金获得者
increasingly,adv.越来越多地；渐增地
expect,v.期望；指望；认为；预料
acquire,v.获得；取得；学到；捕获
occur,v.发生；出现；存在
reflect,v.反映；反射，照出；表达；显示;反省
progress,n.进步，发展；前进v.前进，进步；进行
global,adj.全球的；总体的；球形的
remember,v.记得；牢记；纪念；代…问好
consumption,n.消费；消耗；肺痨
advance,n.发展；前进；增长；预付款v.提出；预付；使……前进；将……提前adj.预先的；先行的
advocate,v.提倡，主张，拥护n.提倡者；支持者；律师
sort,n.种类；方式；品质v.分类；协调；交往
wake,v.醒来；唤醒；警觉n.尾迹；守夜；守丧
doubt,n.怀疑；疑问；疑惑v.怀疑；不信；恐怕；拿不准
figure,n.数字；人物；图形；价格；（人的）体形；画像v.计算；出现；扮演角色
association,n.协会，联盟，社团；联合；联想
relation,n.关系；叙述；故事；亲属关系
stop,v.停止；堵塞；断绝n.停止；车站；障碍；逗留
aspect,n.方面；方向；形势；外貌
contribute,v.贡献，出力；投稿；捐献
preserve,v.保存；保护；维持；腌；禁猎n.保护区；禁猎地；加工成的食品
memory,n.记忆，记忆力；内存，[计]存储器；回忆
examine,v.检查；调查；检测；考试
obvious,adj.明显的；显著的；平淡无奇的
learning,n.学习；学问v.学习（learn的现在分词）
tradition,n.惯例，传统；传说
special,n.特使，特派人员；特刊；特色菜；专车；特价商品adj.特别的；专门的，专用的
benefit,n.利益，好处；救济金v.有益于，对…有益
attract,v.吸引；引起
similar,adj.相似的n.类似物
statement,n.声明；陈述，叙述；报表，清单
establish,v.建立；创办；安置
avoid,v.避免；避开，躲避；消除
secure,adj.安全的；无虑的；有把握的；稳当的v.保护；弄到；招致；缚住
collection,n.采集，聚集；[税收]征收；收藏品；募捐
replace,v.取代，代替；替换，更换；归还，偿还；把…放回原处
lack,v.缺乏；不足；没有；需要n.缺乏；不足
origin,n.起源；原点；出身；开端
dynamic,adj.动态的；动力的；动力学的；有活力的n.动态；动力
suffer,v.遭受；忍受；经历n.(Suffer)人名；(意)苏费尔
female,adj.女性的；雌性的；柔弱的，柔和的n.女人；[动]雌性动物
disease,n.病，[医]疾病；弊病vt.传染；使…有病
charge,n.费用；电荷；掌管；控告；命令；负载v.使充电；使承担；指责；装载；对…索费；向…冲去
stock,n.股份，股票；库存；血统；树干；家畜adj.存货的，常备的；平凡的v.进货；备有；装把手于…
executive,adj.行政的；经营的；执行的，经营管理的n.总经理；执行委员会；执行者；经理主管人员
negotiate,v.谈判，商议；转让；越过
rely,v.依靠；信赖
desire,n.欲望；要求，心愿；性欲v.想要；要求；希望得到…
revenue,n.税收，国家的收入；收益
game,n.游戏；比赛adj.勇敢的v.赌博
draft,n.汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流v.起草；制定；征募adj.初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的
separate,v.使分离；使分开；使分居adj.单独的；分开的；不同的；各自的；n.分开；抽印本
reject,v.拒绝；排斥；抵制；丢弃n.被弃之物或人；次品
mental,adj.精神的；脑力的；疯的n.精神病患者
essential,adj.基本的；必要的；本质的；精华的n.本质；要素；要点；必需品
root,n.根；根源；词根；祖先v.生根；根除
escape,v.逃避，避开，避免；被忘掉；被忽视n.逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
phenomenon,n.现象；奇迹；杰出的人才
unite,v.使…混合；使…联合；使…团结
fair,adj.公平的；美丽的，白皙的；[气象]晴朗的adv.公平地；直接地；清楚地v.转晴n.展览会；市集；美人
article,n.文章；物品；条款；[语]冠词v.订约将…收为学徒或见习生；使…受协议条款的约束
discover,v.发现；发觉
management,n.管理；管理人员；管理部门；操纵；经营手段
recent,adj.最近的；近代的
recognize,v.认出，识别；承认
insurance,n.保险；保险费；保险契约；赔偿金
inevitable,adj.必然的，不可避免的
original,n.原件；原作；原物；原型adj.原始的；最初的；独创的；新颖的
sell,v.销售；推销；出卖；欺骗n.销售；失望；推销术
status,n.地位；状态；情形；重要身份
regard,n.注意；尊重；问候；凝视v.注重，考虑；看待；尊敬；把…看作；与…有关
laughter,n.笑；笑声
appeal,v.呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判n.呼吁，请求；吸引力，感染力；上诉；诉诸裁判
favor,v.赞成；喜欢；像；赐予；证实n.喜爱；欢心；好感
sensitive,adj.敏感的；感觉的；[仪]灵敏的；感光的；易受伤害的；易受影响的n.敏感的人；有灵异能力的人
suit,v.适合；使适应n.诉讼；恳求；套装，西装；一套外衣
crime,n.罪行，犯罪；罪恶；犯罪活动vt.控告……违反纪律
circuit,n.[电子]电路，回路；巡回；一圈；环道v.环行
directly,adv.直接地；立即；马上；正好地；坦率地conj.一…就
property,n.性质，性能；财产；所有权
warm,adj.温暖的；热情的v.同情；激动；变温暖n.取暖；加热
skeptical,adj.怀疑的；怀疑论的，不可知论的
authority,n.权威；权力；当局
primary,adj.主要的；初级的；基本的n.原色；最主要者
politician,n.政治家，政客
step,n.步，脚步；步骤；步伐；梯级v.踏，踩；走
responsibility,n.责任，职责；义务
possibility,n.可能性；可能发生的事物
chemical,n.化学制品，化学药品adj.化学的
indicate,v.表明；指出；预示；象征
critical,adj.鉴定的；[核]临界的；批评的，爱挑剔的；危险的；决定性的；评论的
southern,adj.南的；南方的n.南方人
importance,n.价值；重要；重大；傲慢
adjust,v.调整，使…适合；校准
scale,n.规模；比例；鳞；刻度；天平；数值范围v.衡量；攀登；剥落；生水垢
everyday,adj.每天的，日常的n.平时；寻常日子
philosopher,n.哲学家；哲人
magazine,n.杂志；弹药库；胶卷盒
trouble,n.麻烦；烦恼；故障；动乱v.麻烦；使烦恼；折磨
